,MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT
2085,Verkehrsunfälle,Verletzte und Getötete,2000,12,515.0
1778,Verkehrsunfälle,mit Personenschäden,2000,03,414.0
1777,Verkehrsunfälle,mit Personenschäden,2000,02,329.0
1776,Verkehrsunfälle,mit Personenschäden,2000,01,321.0
1489,Verkehrsunfälle,insgesamt,2000,12,3789.0
584,Alkoholunfälle,Verletzte und Getötete,2000,01,37.0
1779,Verkehrsunfälle,mit Personenschäden,2000,04,441.0
585,Alkoholunfälle,Verletzte und Getötete,2000,02,19.0
587,Alkoholunfälle,Verletzte und Getötete,2000,04,26.0
588,Alkoholunfälle,Verletzte und Getötete,2000,05,44.0
589,Alkoholunfälle,Verletzte und Getötete,2000,06,32.0
590,Alkoholunfälle,Verletzte und Getötete,2000,07,37.0
591,Alkoholunfälle,Verletzte und Getötete,2000,08,32.0
592,Alkoholunfälle,Verletzte und Getötete,2000,09,45.0
593,Alkoholunfälle,Verletzte und Getötete,2000,10,31.0
586,Alkoholunfälle,Verletzte und Getötete,2000,03,18.0
594,Alkoholunfälle,Verletzte und Getötete,2000,11,24.0
1780,Verkehrsunfälle,mit Personenschäden,2000,05,568.0
1782,Verkehrsunfälle,mit Personenschäden,2000,07,610.0
286,Alkoholunfälle,insgesamt,2000,01,78.0
287,Alkoholunfälle,insgesamt,2000,02,53.0
288,Alkoholunfälle,insgesamt,2000,03,73.0
289,Alkoholunfälle,insgesamt,2000,04,78.0
290,Alkoholunfälle,insgesamt,2000,05,96.0
291,Alkoholunfälle,insgesamt,2000,06,57.0
292,Alkoholunfälle,insgesamt,2000,07,99.0
1781,Verkehrsunfälle,mit Personenschäden,2000,06,555.0
293,Alkoholunfälle,insgesamt,2000,08,77.0
295,Alkoholunfälle,insgesamt,2000,10,83.0
296,Alkoholunfälle,insgesamt,2000,11,71.0
297,Alkoholunfälle,insgesamt,2000,12,85.0
1786,Verkehrsunfälle,mit Personenschäden,2000,11,461.0
1785,Verkehrsunfälle,mit Personenschäden,2000,10,493.0
1784,Verkehrsunfälle,mit Personenschäden,2000,09,557.0
1783,Verkehrsunfälle,mit Personenschäden,2000,08,525.0
294,Alkoholunfälle,insgesamt,2000,09,84.0
595,Alkoholunfälle,Verletzte und Getötete,2000,12,31.0
1487,Verkehrsunfälle,insgesamt,2000,10,4117.0
890,Fluchtunfälle,insgesamt,2000,09,978.0
891,Fluchtunfälle,insgesamt,2000,10,1078.0
892,Fluchtunfälle,insgesamt,2000,11,1017.0
893,Fluchtunfälle,insgesamt,2000,12,950.0
1190,Fluchtunfälle,Verletzte und Getötete,2000,11,56.0
1189,Fluchtunfälle,Verletzte und Getötete,2000,10,47.0
1188,Fluchtunfälle,Verletzte und Getötete,2000,09,68.0
889,Fluchtunfälle,insgesamt,2000,08,881.0
1187,Fluchtunfälle,Verletzte und Getötete,2000,08,74.0
1185,Fluchtunfälle,Verletzte und Getötete,2000,06,58.0
1184,Fluchtunfälle,Verletzte und Getötete,2000,05,69.0
1183,Fluchtunfälle,Verletzte und Getötete,2000,04,57.0
1182,Fluchtunfälle,Verletzte und Getötete,2000,03,48.0
1181,Fluchtunfälle,Verletzte und Getötete,2000,02,35.0
1180,Fluchtunfälle,Verletzte und Getötete,2000,01,34.0
1186,Fluchtunfälle,Verletzte und Getötete,2000,07,67.0
1488,Verkehrsunfälle,insgesamt,2000,11,3931.0
888,Fluchtunfälle,insgesamt,2000,07,1102.0
886,Fluchtunfälle,insgesamt,2000,05,1086.0
1486,Verkehrsunfälle,insgesamt,2000,09,3807.0
1485,Verkehrsunfälle,insgesamt,2000,08,3387.0
1484,Verkehrsunfälle,insgesamt,2000,07,4282.0
1483,Verkehrsunfälle,insgesamt,2000,06,3329.0
1482,Verkehrsunfälle,insgesamt,2000,05,4123.0
1481,Verkehrsunfälle,insgesamt,2000,04,3317.0
1480,Verkehrsunfälle,insgesamt,2000,03,3783.0
887,Fluchtunfälle,insgesamt,2000,06,842.0
1479,Verkehrsunfälle,insgesamt,2000,02,3181.0
1191,Fluchtunfälle,Verletzte und Getötete,2000,12,45.0
882,Fluchtunfälle,insgesamt,2000,01,835.0
883,Fluchtunfälle,insgesamt,2000,02,890.0
884,Fluchtunfälle,insgesamt,2000,03,974.0
885,Fluchtunfälle,insgesamt,2000,04,834.0
1478,Verkehrsunfälle,insgesamt,2000,01,3448.0
1787,Verkehrsunfälle,mit Personenschäden,2000,12,403.0
2084,Verkehrsunfälle,Verletzte und Getötete,2000,11,578.0
2075,Verkehrsunfälle,Verletzte und Getötete,2000,02,419.0
2083,Verkehrsunfälle,Verletzte und Getötete,2000,10,615.0
2082,Verkehrsunfälle,Verletzte und Getötete,2000,09,675.0
2081,Verkehrsunfälle,Verletzte und Getötete,2000,08,647.0
2080,Verkehrsunfälle,Verletzte und Getötete,2000,07,744.0
2079,Verkehrsunfälle,Verletzte und Getötete,2000,06,685.0
2078,Verkehrsunfälle,Verletzte und Getötete,2000,05,675.0
2077,Verkehrsunfälle,Verletzte und Getötete,2000,04,557.0
2076,Verkehrsunfälle,Verletzte und Getötete,2000,03,509.0
2074,Verkehrsunfälle,Verletzte und Getötete,2000,01,434.0
880,Fluchtunfälle,insgesamt,2001,12,941.0
879,Fluchtunfälle,insgesamt,2001,11,1001.0
